# 四端 ads_dim_metric_rule 行清单（2026-09-02 晚间回补后快照）

权威以 Sheet / BQ 外表为准。正文见 [ads_dim_metric_rule.md](./ads_dim_metric_rule.md)。

## android
| metric_name | 中文 | event_name | event_params | agg | enabled | materialized |
| `text2video_video_generate_start_pv` | AItext2video 视频生成·开始 | `= 'ai_service_start'` | `service_type = 'aivideot2v'` | count_distinct_task_id | True | True |
| `referencetovideo_video_generate_start_pv` | referencetovideo 生成开始 | `= 'ai_service_start'` | `service_type = 'aivideor2v'` | count_distinct_task_id | True | True |
| `img2img_generate_start_pv` | 图生图·生成开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img','ai_generation')` | count_distinct_task_id | True | True |
| `img_generate_start_pv` | 图片生成·生成开始 | `= 'ai_service_start'` | `service_type in ('aigeneral','img2img','text2img','texttoimage','ai_generation')` | count_distinct_task_id | True | True |
| `text2img_generate_start_pv` | 文生图·开始 | `= 'ai_service_start'` | `service_type in ('text2img','texttoimage')` | count_distinct_task_id | True | True |
| `video_generate_success_pv` | 视频生成·成功 | `= 'ai_service_success'` | `service_type like '%aivideo%'` | count_distinct_task_id | True | True |
| `text2video_video_generate_success_pv` | AItext2video 视频生成·成功 | `= 'ai_service_success'` | `service_type = 'aivideot2v'` | count_distinct_task_id | True | True |
| `referencetovideo_video_generate_success_pv` | referencetovideo 生成成功 | `= 'ai_service_success'` | `service_type = 'aivideor2v'` | count_distinct_task_id | True | True |
| `img2img_generate_success_pv` | 图生图·生成成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img','ai_generation')` | count_distinct_task_id | True | True |
| `img_generate_success_pv` | 图片生成·生成成功 | `= 'ai_service_success'` | `service_type in ('aigeneral','img2img','text2img','texttoimage','ai_generation')` | count_distinct_task_id | True | True |
| `text2img_generate_success_pv` | 文生图·成功 | `= 'ai_service_success'` | `service_type in ('text2img','texttoimage')` | count_distinct_task_id | True | True |
| `video_save_pv` | 视频保存 | `= 'ai_service_download_success'` | `service_type like '%aivideo%'` | count_distinct_task_id | True | True |
| `image_save_pv` | 生图保存 | `= 'ai_service_download_success'` | `service_type in ('aigeneral','img2img','text2img','texttoimage','ai_generation')` | count_distinct_task_id | True | True |
